District ,Zn,Fe,Cu,Mn,B,S
Jalore,41.11,39.04,97.58,91.82,,93.98
Fatehpur,91.98,97.68,98.1,97.66,94.29,97.76
Sambhal,74.88,66.89,94.77,61.99,43.73,65.66
Sivasagar,98.84,99.52,99.94,90.47,1.91,98.39
Kupwara,53.32,31.41,71.9,22.19,62.73,77.08
Latur,41.42,32.68,99.8,98.37,35.87,9.62
Tirap,84.0,100.0,90.67,65.88,,100.0
BHADRADRI KOTHAGUDEM,37.05,24.54,85.53,50.05,74.51,69.24
Thiruvallur,62.94,59.6,90.96,10.85,48.4,65.17
Bareilly,49.02,57.65,93.77,53.71,46.0,60.33
Aizawl,,,,,,100.0
Medak,45.0,71.49,93.72,97.56,97.6,98.65
Jagitial,57.04,59.09,89.39,79.27,59.3,64.26
Chandrapur,27.24,28.1,96.28,92.24,80.66,28.07
Agra,69.19,51.98,91.49,80.82,80.27,83.88
Chamoli,91.27,91.89,96.74,68.22,66.05,92.15
Amravati,59.04,18.23,98.57,94.9,15.93,16.47
Godda,97.19,98.56,99.01,85.86,93.4,89.53
Tehri Garhwal,88.33,89.76,94.81,87.5,75.0,54.3
Poonch,92.74,81.33,93.53,53.89,0.37,83.23
Mathura,63.72,47.12,92.39,87.82,98.06,65.55
Alirajpur,43.17,48.36,81.26,66.3,65.82,55.67
Bahraich,70.67,77.48,96.98,80.08,65.34,46.17
Tuensang,42.52,99.04,65.91,87.52,,89.83
Churu,4.38,0.86,93.82,81.17,,70.73
Kargil,76.29,76.66,94.18,66.97,36.84,19.14
Jaunpur,62.81,72.25,97.19,93.33,14.89,15.34
Balod,38.63,96.84,99.18,97.14,52.95,44.16
Gariyaband,53.4,89.19,94.29,95.76,80.07,55.91
Etawah,89.95,98.18,99.03,99.58,35.46,96.8
Anuppur,52.86,96.04,89.58,98.95,43.88,94.64
Farrukhabad,57.18,70.43,89.7,88.75,43.74,41.93
Moradabad,79.4,75.88,95.16,83.48,59.86,64.86
Nellore,39.58,55.37,80.72,79.83,77.23,87.61
Nawada,97.25,98.45,99.66,99.38,0.41,0.52
Jalaun,77.67,75.09,99.18,91.31,89.15,75.84
Nandurbar,67.71,77.28,99.95,98.67,43.33,42.09
Rajsamand,41.53,18.03,89.69,89.65,,99.94
Hingoli,59.06,68.61,99.62,97.38,54.25,16.3
Gyalshing,54.41,3.49,96.17,7.01,26.96,0.17
Kulgam,58.93,96.41,98.21,86.16,100.0,100.0
Botad,14.98,90.56,95.68,98.81,36.05,98.14
Lohardaga,80.02,85.74,89.05,76.27,80.09,48.69
Dhubri,98.36,99.98,99.98,99.17,0.06,99.86
Dhemaji,99.7,99.49,99.94,87.86,3.99,98.04
Buxar,0.0,0.04,0.07,0.07,0.07,0.07
Bhiwani,45.72,43.1,93.0,44.05,56.88,89.85
Jhabua,75.81,95.55,99.65,99.51,80.52,83.97
Azamgarh,36.0,56.23,99.26,96.99,37.29,5.6
Araria,87.7,89.78,90.04,89.83,0.02,35.91
West Godavari,67.36,87.69,96.54,96.76,87.74,88.24
Udaipur,61.23,78.35,98.44,99.11,0.0,89.49
Mahbubnagar,73.95,63.37,94.86,83.08,82.65,85.89
Kodagu,66.17,88.91,94.47,90.93,58.64,85.28
Chamarajanagar,20.0,22.34,91.43,85.91,84.91,78.77
Ujjain,36.56,53.44,91.16,95.28,62.21,61.2
Udhampur,58.96,59.84,71.8,59.94,6.5,57.05
Kannur,94.01,99.35,98.61,97.62,37.81,48.04
PEDDAPALLI,70.6,57.93,97.36,81.41,77.74,70.69
Mahendragarh,68.6,32.14,95.04,82.33,47.59,83.19
Jajapur,80.97,100.0,100.0,100.0,48.45,42.22
Varanasi,47.66,81.62,98.81,88.37,45.84,32.82
